Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_39_812.jpg;0;0;1;0;99.66999;85.58897;0.0002360037;56.82556;-3.010146E-07
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_39_858.jpg;0;0;0;0;99.66999;85.58897;0.000235958;56.82556;-1.475891E-07
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_39_908.jpg;0;0;0;0;99.66999;85.58897;0.0002359733;56.82556;-1.987288E-07
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_39_958.jpg;0;0;0;0;99.66999;85.58897;0.0002359733;56.82556;-1.987288E-07
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_40_008.jpg;0;0;0;0;99.66999;85.58897;0.0002359428;56.82556;-9.644948E-08
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_40_058.jpg;0;0;0;0;99.66999;85.58897;0.0002359885;56.82556;-2.498685E-07
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_40_108.jpg;0;0;0;0;99.66999;85.58897;0.000235958;56.82556;-1.475891E-07
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_40_159.jpg;0;0;0;0;99.66999;85.58897;0.0002360037;56.82556;-3.010146E-07
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_40_208.jpg;0;0.1514967;0;0;99.6702;85.58929;0.009478808;56.82549;-4.639892E-07
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_40_258.jpg;0;0.3005067;0;0;99.67072;85.5901;0.03062979;56.75475;7.566403E-06
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_40_308.jpg;0;0.4504786;0;0.01955766;99.67157;85.59138;0.06326262;56.6389;0.0001217295
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_40_358.jpg;0;0.5995342;0;0.033656;99.67357;85.5944;0.1351154;56.65378;-4.627399E-05
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_40_408.jpg;0;0.7497587;0;0.05366628;99.67546;85.5973;0.201585;56.70062;-0.0001344602
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_40_458.jpg;0;0.8994732;0;0.1025152;99.68079;85.60541;0.3897493;56.78555;-0.0008056474
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_40_508.jpg;0;1;0;0.1330832;99.68516;85.61206;0.524482;56.74779;0.0001674
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_40_558.jpg;0;1;0;0.1817758;99.69351;85.62469;0.7600793;56.72286;-0.0016574
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_40_608.jpg;0;1;0;0.2243825;99.70031;85.63503;0.9375892;56.70006;-2.316171E-05
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_40_658.jpg;0;1;0;0.2766666;99.71161;85.65218;1.193538;56.77723;-0.001810179
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_40_708.jpg;0;1;0;0.3118374;99.72005;85.66484;1.330972;56.84165;-0.0028781
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_40_758.jpg;0;1;0;0.3512303;99.73129;85.68166;1.260705;56.94282;-0.001918414
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_40_808.jpg;0;1;0;0.3967994;99.7394;85.69399;1.169319;57.05766;-0.002253151
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_40_858.jpg;0;1;0;0.4594695;99.75365;85.71581;1.100599;57.12903;-0.001086707
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_40_908.jpg;0;1;0;0.4850873;99.76444;85.73241;1.095319;57.18786;-0.001008064
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_40_958.jpg;0;1;0;0.5356091;99.78207;85.75946;1.11979;57.03181;0.001483929
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_41_008.jpg;0;1;0;0.5694212;99.79497;85.77918;1.161454;56.93462;0.0009218113
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_41_058.jpg;0;1;0;0.6022333;99.81546;85.81042;1.22343;56.93425;-0.001420683
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_41_108.jpg;0;1;0;0.6333894;99.82945;85.83174;1.228805;56.90388;-0.001120595
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_41_158.jpg;0;1;0;0.6904832;99.85204;85.8661;1.225231;56.92298;-0.001622674
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_41_208.jpg;0;1;0;0.7155386;99.86783;85.89012;1.208929;56.91191;-0.001342564
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_41_258.jpg;0;1;0;0.7662625;99.89298;85.92834;1.188425;56.84624;0.0005716444
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_41_308.jpg;0;1;0;0.8078225;99.91102;85.9557;1.201058;56.79526;0.000106078
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_41_358.jpg;0;1;0;0.8514854;99.93953;85.99895;1.220127;56.75398;-0.0005978838
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_41_408.jpg;0;1;0;0.8920096;99.95958;86.02935;1.233622;56.74164;-0.0009090261
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_41_458.jpg;0;1;0;0.9481026;99.99084;86.07666;1.236647;56.73376;-0.0009011811
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_41_508.jpg;0;1;0;0.9804337;100.0125;86.10946;1.230064;56.7291;-0.0008747326
D:\RoboND\RoboND-Rover-Project\data\IMG\robocam_2017_06_07_01_54_41_558.jpg;0;1;0;1.022909;100.0463;86.16051;1.212378;56.74319;-0.00129341
